"[all run data]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]"
,"1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0"
,"769","351","0","993","126","1","857","263","0","732","374","14","788","332","0","720","400","0","891","229","0","640","419","61","951","169","0","893","227","0"
,"786","334","0","1011","109","0","873","244","3","755","363","2","799","321","0","734","386","0","897","223","0","673","442","5","971","149","0","914","206","0"
,"803","317","0","1032","88","0","886","234","0","777","342","1","817","303","0","754","366","0","909","210","1","688","432","0","987","133","0","887","202","31"
,"818","301","1","1046","73","1","901","219","0","804","316","0","839","281","0","764","356","0","925","195","0","707","413","0","996","116","8","820","216","84"
,"838","282","0","1060","60","0","924","196","0","830","290","0","847","273","0","782","337","1","938","182","0","727","393","0","943","115","62","754","244","122"
,"851","269","0","1077","43","0","935","185","0","857","263","0","867","252","1","800","320","0","953","166","1","738","382","0","813","139","168","673","288","159"
,"873","246","1","1084","36","0","952","168","0","869","251","0","887","233","0","816","303","1","957","160","3","760","360","0","667","184","269","655","315","150"
,"887","233","0","1088","32","0","965","155","0","883","237","0","901","219","0","827","293","0","952","148","20","775","344","1","638","235","247","659","347","114"
,"911","209","0","1092","28","0","982","137","1","899","220","1","919","201","0","847","273","0","897","161","62","786","328","6","647","277","196","670","379","71"
,"918","198","4","1097","23","0","998","122","0","889","209","22","933","187","0","863","256","1","793","195","132","803","315","2","664","310","146","720","385","15"
,"933","187","0","1100","20","0","1010","110","0","862","227","31","949","171","0","874","246","0","693","236","191","817","303","0","674","352","94","760","360","0"
,"947","173","0","1091","21","8","1032","88","0","833","248","39","961","159","0","892","224","4","680","276","164","832","287","1","694","394","32","793","324","3"
,"965","155","0","1045","37","38","1041","78","1","800","272","48","972","143","5","854","228","38","668","315","137","849","271","0","721","398","1","797","316","7"
,"987","132","1","820","80","220","1057","63","0","782","290","48","951","130","39","822","244","54","683","348","89","875","245","0","742","378","0","814","302","4"
,"930","132","58","641","137","342","1068","52","0","768","322","30","848","149","123","773","264","83","705","381","34","888","232","0","757","363","0","816","297","7"
,"770","163","187","625","193","302","1081","38","1","792","327","1","688","185","247","742","298","80","728","388","4","908","212","0","774","346","0","832","288","0"
,"648","205","267","629","246","245","1086","34","0","807","313","0","653","226","241","702","328","90","755","364","1","933","187","0","796","324","0","847","273","0"
,"648","243","229","634","295","191","1089","30","1","827","293","0","656","266","198","712","351","57","778","342","0","946","173","1","810","310","0","865","255","0"
,"645","284","191","633","344","143","1095","25","0","847","272","1","660","304","156","721","378","21","785","329","6","968","151","1","824","296","0","878","242","0"
,"649","321","150","657","384","79","1095","25","0","862","258","0","660","341","119","742","372","6","801","319","0","990","130","0","832","286","2","889","231","0"
,"650","364","106","687","418","15","1099","21","0","881","239","0","671","383","66","771","349","0","823","297","0","1005","114","1","842","273","5","907","213","0"
,"669","407","44","708","411","1","1096","23","1","902","218","0","694","414","12","792","328","0","835","282","3","1020","100","0","850","270","0","919","201","0"
,"700","420","0","723","396","1","1092","27","1","924","196","0","726","394","0","826","294","0","844","276","0","1041","79","0","872","248","0","935","185","0"
,"714","406","0","736","384","0","1081","29","10","933","185","2","742","377","1","841","278","1","856","264","0","990","73","57","881","238","1","950","170","0"
